sbd_id,end_date,model_name,stop_reason,cost_usd,cost_usd_specialist,cost_usd_orchestration,cost_usd_critic,cost_usd_robustness,ledger_rows,real_requests,dup_pct,variants_tested,explore_rounds,explore_keeps,specialist_runs,specialist_runs_empty,specialist_proposals,cost_usd_enablement
99522,2026-08-11,DeepSeek-V4-Pro-MXFP4,enablement_stalled,27.98,23.31,4.32,0.29,0.06,788,339,57.0,0,0,0,5,2,7,23.31
99530,2026-08-11,DeepSeek-V4-Flash-0731,global_converged,105.29,53.46,30.53,21.3,0.0,1668,780,53.2,15,4,0,20,6,63,0.0
99531,2026-08-11,DeepSeek-V4-Pro-MXFP4,enablement_stalled,31.49,21.54,9.25,0.7,0.0,770,326,57.7,0,0,0,5,4,1,21.54
99537,2026-08-11,DeepSeek-V4-Pro-MXFP4,enablement_stalled,34.75,33.19,1.2,0.28,0.08,30,30,0.0,0,0,0,3,3,0,33.19
99538,2026-08-11,MiniMax-M3-MXFP4,enablement_stalled,83.62,67.19,15.53,0.83,0.06,1913,888,53.6,0,0,0,14,0,56,67.19
99542,2026-08-11,Qwen3-0.6B,global_converged,131.4,93.31,24.98,13.1,0.0,2284,1027,55.0,21,4,4,29,0,142,0.0
99546,2026-08-11,Mixtral-8x7B-Instruct-v0.1,global_converged,79.06,69.29,8.14,1.5,0.13,109,109,0.0,9,4,0,15,3,25,0.0
99550,2026-08-11,Qwen3-8B,global_converged,84.74,52.91,30.88,0.65,0.31,1856,960,48.3,0,0,0,27,9,86,0.0
99556,2026-08-11,DeepSeek-V4-Pro-MXFP4,enablement_stalled,28.1,26.09,1.63,0.28,0.09,34,34,0.0,0,0,0,4,3,1,26.09
99557,2026-08-11,gemma-4-26B-A4B-it,global_converged,84.39,38.46,43.42,1.9,0.61,1452,773,46.8,0,1,0,21,2,86,2.52
99562,2026-08-11,Mixtral-8x7B-Instruct-v0.1,global_converged,125.63,87.22,25.63,12.79,0.0,2000,947,52.6,32,8,1,27,1,115,0.0
99563,2026-08-11,Qwen-Image,global_converged,81.3,57.39,23.02,0.88,0.03,1476,689,53.3,56,8,7,23,3,111,0.0
99571,2026-08-11,Llama-3.1-8B-Instruct,global_converged,101.53,71.5,28.25,1.58,0.2,1602,766,52.2,3,1,1,17,9,19,0.0
99572,2026-08-11,gpt-oss-120b,global_converged,37.73,22.05,14.92,0.67,0.09,823,339,58.8,30,6,1,13,0,63,0.0
99573,2026-08-11,Qwen3-14B-FP8,global_converged,133.52,116.14,15.84,1.3,0.24,156,156,0.0,5,5,0,10,2,20,0.0
